"","x"
"m_stature",0.303379166052125
"fuel",0.0819352539841969
"enough_food",0.0710938448336964
"apgar1",0.0650752760151742
"m_age_anc1",0.0367154317091758
"sex",0.0359111140070407
"apgar5",-0.0348139321490319
"hh_smoker",-0.0240505398742123
"parity",0.0238676320927392
"alc",0.0237164694202944
"weight",-0.0127960969665187
"run_out_food",0.0116540276403906
"grav",-0.0106583776143575
"head_cir",-0.00919589985465218
"m_wt",0.00906393708922472
"not_enough_food",-0.00686966253569518
"length_b",-0.00566405448224247
"fun_ht_anc1",0.00106175851100948
"ever_no_food",0.00103882249443858
